"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir"
"1",1140,1537,1897,2480,3048,2629,0.133196253141421,0.274327122153209,0.199771559109081,1.30732735898788,0.232760364004044,37.5741000000002,4901.3113,1798.7118,35,1453,0.0186317432671785,41.3947596549988,0.5,0.5,1,4
"2",991,1470,1862,2692,3091,2639,0.1822573561704,0.32258064516129,0.273356021517181,1.44575725026853,0.248132444982839,264.5057,4961.1234,1826.5702,35,1286,0.0186317432671785,42.9655561447144,-0.125,0.375,2,2
"3",566,852,804,4255,1829,913,0.682150622652698,1.78438469493278,1.02312481470501,5.29228855721393,0.389289783516901,2519.2138,4138.464,1804.7317,0,1285,0.0131753943860531,43.1074531078339,-0.25,0.25,1,8
"4",1204,1830,2124,3238,3138,2738,0.207758299142111,0.400546526679131,0.311608391608392,1.52448210922787,0.192702394526796,418.825,5649.9972,2045.8496,0,1282,1.77635683940025e-15,40.2876110076904,0,0,0,32
"5",638,1035,1217,4053,2367,1810,0.538140417457305,1.07898341196165,0.807134048003036,3.3303204601479,0.320870535714286,1962.3237,4716.0883,1758.0833,0,1284,1.77635683940025e-15,40.2876110076904,0,0,0,32
"6",1123,1577,1973,2579,3082,2926,0.133128295254833,0.252689517137853,0.199670510708402,1.30714647744551,0.219386745796241,27.1914000000003,5092.3092,1687.3192,0,1295,0.0166651234030724,43.4292036294937,-0.375,0.375,1,4
"7",1043,1506,1797,2402,3073,2949,0.144081924267683,0.282051282051282,0.216097154423146,1.33667223149694,0.262012320328542,3.00310000000007,4850.0906,1567.465,30,1300,0.0186317432671785,43.8928512334824,-0.5,0.5,1,128
"8",1016,1401,1707,3196,2810,2415,0.303691617377116,0.639714727616429,0.455490975833588,1.87229056824839,0.244188620765995,788.9365,5001.8935,1791.2624,0,1303,0.00589248817414045,42.6438055038452,-0.125,0.125,1,16
"9",925,1334,1678,2556,2966,2442,0.207368918280586,0.385934065934066,0.311016648955012,1.52324195470799,0.277347114556417,324.6867,4626.9525,1753.5227,45,1312,0.0186317432671785,40.7512588500977,0.5,0.5,1,16
"10",701,956,1227,1786,2689,2343,0.185529372718221,0.359116022099447,0.278247884519662,1.45558272208639,0.373340143003064,92.5555000000002,3623.493,1279.3876,40,1369,0.0649937465786934,40.982349395752,-0.5,1.5,5,8
