"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","split"
"1",907,1261,1390,1813,1807,1455,0.132063690290353,0.315530359540504,0.198064616825347,1.30431654676259,0.130434782608696,42.7964000000002,3417.8965,1344.5735,30,1553,0.502891659736633,38.7319650650024,-2,12.5,33,64,TRUE
"2",845,1097,1350,1977,2535,2275,0.188458070333634,0.419061622777704,0.282644628099174,1.46444444444444,0.305019305019305,130.4922,3825.3683,1317.7485,5,1510,0.0873761102557182,44.5576257705688,-0.25,2,7,64,TRUE
"3",976,1435,1891,2589,3161,2771,0.155803571428571,0.263754534461911,0.233679276866421,1.36911686938128,0.2513855898654,161.6129,4952.6608,1778.605,0,1284,0.0294542610645294,43.2873066663742,0.125,0.625,2,1,TRUE
"4",991,1470,1862,2692,3091,2639,0.1822573561704,0.32258064516129,0.273356021517181,1.44575725026853,0.248132444982839,264.5057,4961.1234,1826.5702,35,1286,0.0186317432671785,42.9655561447144,-0.125,0.375,2,2,TRUE
"5",1204,1830,2124,3238,3138,2738,0.207758299142111,0.400546526679131,0.311608391608392,1.52448210922787,0.192702394526796,418.825,5649.9972,2045.8496,0,1282,1.77635683940025e-15,40.2876110076904,0,0,0,32,TRUE
"6",638,1035,1217,4053,2367,1810,0.538140417457305,1.07898341196165,0.807134048003036,3.3303204601479,0.320870535714286,1962.3237,4716.0883,1758.0833,0,1284,1.77635683940025e-15,40.2876110076904,0,0,0,32,TRUE
"7",1123,1577,1973,2579,3082,2926,0.133128295254833,0.252689517137853,0.199670510708402,1.30714647744551,0.219386745796241,27.1914000000003,5092.3092,1687.3192,0,1295,0.0166651234030724,43.4292036294937,-0.375,0.375,1,4,TRUE
"8",1180,1716,1995,2735,2909,2749,0.156448202959831,0.315915300546448,0.234647500264243,1.37092731829574,0.186378466557912,117.439,5168.6546,1739.2829,0,1302,0.00833314005285501,41.8584072589874,-0.125,0.125,1,8,TRUE
"9",690,994,1257,1854,2688,2310,0.191899710703954,0.35350544765514,0.287803310300498,1.47494033412888,0.362737642585551,127.5682,3684.7446,1326.3452,40,1421,0.0600203424692154,40.8756136894226,-0.375,1.375,5,8,TRUE
"10",955,1396,1657,2931,3347,2705,0.277680906713165,0.55764685284076,0.416475972540046,1.76885938442969,0.337729816147082,572.5577,5042.1415,1918.9006,0,1275,0,43.4292036294937,0,0,0,128,TRUE
"11",1097,1541,1803,2520,3300,3002,0.165857043719639,0.350679839577423,0.248756794263907,1.39767054908486,0.293356848912404,67.5936000000002,5029.8547,1719.0284,25,1273,8.88178419700125e-16,40.2876110076904,0,0,0,128,TRUE
"12",1037,1469,1739,2370,2935,2655,0.153565344366026,0.313774241670811,0.230319990266456,1.36285221391604,0.255883611467694,60.0892000000003,4672.2504,1622.3877,20,1331,0.0649937465786934,44.3052617311478,-0.875,1.625,6,128,TRUE
"13",614,939,845,4346,2166,1401,0.674436524754383,1.81889027431421,1.01155735336608,5.14319526627219,0.438724676187313,2468.5213,4477.0017,1782.293,0,1257,0.0176758281886578,44.2146018147469,0.375,0.375,1,64,TRUE
"14",1520,2066,2508,2938,3417,3209,0.0789570326845391,0.163200242902687,0.118424676397687,1.17145135566188,0.153417721518987,-194.0746,6048.2073,2076.9495,20,1273,0.0176758281886578,44.2146018147469,-0.375,0.375,1,128,TRUE
"15",1195,1688,1884,2300,2885,2651,0.0994263862332696,0.224017232094777,0.149121758872028,1.2208067940552,0.209897253092892,-153.5289,4818.9598,1673.8592,20,1334,0.0131753943860531,44.6782494485378,0.25,0.25,1,64,TRUE
"16",1101,1445,1714,2232,2793,2651,0.131272174353776,0.304026294165982,0.196883314329152,1.3022170361727,0.239405369425338,-40.0914,4537.0286,1495.5995,25,1403,0.0448462851345539,43.8097100257874,0.5,1,3,1,TRUE
"17",796,1128,1313,2406,2982,2226,0.293896208658241,0.633256083429896,0.440785051754268,1.83244478293983,0.388591385331781,495.6646,4182.4556,1713.5376,30,1607,0.0919728875160217,43.1074531078339,-0.625,2.125,8,2,TRUE
"18",803,1103,1287,2194,2740,2185,0.260557311117495,0.582231351906535,0.390779836277467,1.7047397047397,0.360814502110752,351.9706,3952.376,1527.1893,25,1773,0.20603321492672,40.2077808380127,-1.375,4.625,14,16,TRUE
"19",1462,2055,2468,2991,3612,3196,0.0958050925077853,0.191294806144843,0.143694477516256,1.21191247974068,0.188157894736842,-117.9395,6098.0395,2209.5983,0,1273,0.0242908541113138,42.8887841701508,-0.375,0.625,2,2,TRUE
"20",1076,1500,1844,2221,3081,2771,0.0927429274292743,0.180694018404908,0.139097282007133,1.20444685466377,0.251167512690355,-141.7588,4737.8942,1667.2049,25,1275,0.0235658623278141,42.6438055038452,0.25,0.5,2,1,TRUE
"21",1160,1604,1816,2187,2872,2606,0.0926804896327754,0.211564781021898,0.139003372049457,1.20429515418502,0.225255972696246,-173.9052,4660.0209,1635.3172,0,1281,0.0300372242927551,42.4464099407196,0.5,0.75,3,2,TRUE
"22",942,1292,1504,2087,2920,2541,0.162350320245057,0.36014331603657,0.243491577335375,1.3876329787234,0.320072332730561,32.9423999999998,4256.0208,1525.0499,20,1581,0.129705011844635,42.9655561447144,0.375,3.125,10,1,TRUE
"23",876,1196,1509,1920,2689,2278,0.119860017497813,0.233257661748014,0.179763813967051,1.27236580516899,0.281086231538828,-26.4968,3976.7742,1481.9486,20,1335,0.0186317432671785,42.3220548629761,-0.5,0.5,1,2,TRUE
"24",922,1264,1706,2356,3152,2705,0.160019694731659,0.286192321239873,0.24,1.3810082063306,0.297653355290243,134.2928,4616.5561,1682.0117,10,1319,0.0235658623278141,42.6438055038452,0.25,0.5,2,4,TRUE
"25",1222,1678,1988,2554,3427,3096,0.124614707177455,0.266077472734111,0.186901485965878,1.28470824949698,0.265743305632502,-68.9141999999997,5295.3932,1842.4718,40,1297,0.00589248817414045,41.0730092525482,0.125,0.125,1,8,TRUE
"26",973,1402,1593,2087,2874,2606,0.134239130434783,0.284005979073244,0.201331340850428,1.31010671688638,0.286769644056414,-56.3567000000001,4357.8548,1504.8491,30,1298,1.77635683940025e-15,43.4292036294937,0,0,0,128,TRUE
"27",1104,1504,1788,2285,2964,2734,0.122023078811687,0.262463033375581,0.183012151712287,1.27796420581655,0.247474747474747,-63.6016,4706.0139,1604.6988,35,1275,0,43.4292036294937,0,0,0,128,TRUE
"28",1154,1780,2126,3018,3470,3126,0.173405909797823,0.313202247191011,0.260083584410536,1.41956726246472,0.240171551107934,209.2298,5686.8682,1988.652,0,1271,8.88178419700125e-16,40.2876110076904,0,0,0,8,TRUE
"29",926,1299,1423,1919,2320,1982,0.148414123279473,0.352974665528039,0.222587883320868,1.34855938158819,0.239647341704515,20.8187,3798.2917,1407.1883,30,1266,0.0474716164171696,42.7681605815887,-0.125,1.125,4,2,TRUE
"30",1081,1435,1622,2126,2742,2416,0.134471718249733,0.335865653738505,0.201680672268908,1.31072749691739,0.256645279560037,-38.8667999999998,4347.0563,1556.3646,25,1259,0.0300372242927551,39.6996083259583,0.5,0.75,3,32,TRUE
"31",1242,1658,1888,2336,3073,2917,0.106060606060606,0.257471264367816,0.15907207953604,1.23728813559322,0.238863132432977,-164.4216,4958.9561,1641.7093,40,1238,0.0300372242927551,39.304817199707,0.5,0.75,3,32,TRUE
"32",901,1235,1398,1859,2258,1893,0.141541295670863,0.330181922360693,0.212279355333845,1.32975679542203,0.235229759299781,20.4198000000001,3678.4515,1388.3203,85,1382,0.209111601114273,41.1007797718048,-0.25,4.75,17,4,TRUE
"33",622,860,889,2627,2207,1527,0.494311717861206,1.31786472550804,0.741362149864923,2.95500562429696,0.425710594315245,1084.702,3525.0418,1457.1505,0,1670,0.0474716164171696,39.6265678405762,-0.5,1.25,5,32,TRUE
"34",1205,1606,1869,2381,3002,2727,0.120470588235294,0.280794120873094,0.180684625338196,1.27394328517924,0.23260110860193,-71.2672999999998,4879.1769,1699.0622,30,1352,0.0235658623278141,41.0730092525482,0.25,0.5,2,16,TRUE
"35",1288,1846,2178,2712,3209,2792,0.10920245398773,0.218101617382781,0.163786933851344,1.24517906336088,0.191386671616855,-51.2323999999999,5436.2808,1999.9696,30,1383,0.0294542610645294,44.8581029474735,0.125,0.625,2,64,TRUE
