"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","folded_aspect_ns","slope","tpi","tri","roughness","flowdir","satvi","tndvi","weights"
"1",724,938,1205,1820,2021,1729,0.203305785123967,0.424606462303231,0.304908279623203,1.5103734439834,0.252944823310601,-359.354,3106.583,-1851.4829,39.34,1648,90,5.08888754974322e-14,0,0,0,64,0.379358437935844,60.1652892561983,0.118110253119446
"2",705,993,1335,1871,2692,2594,0.167186525265128,0.291653063445424,0.250740682987681,1.40149812734082,0.336975415942389,-639.927,3499.3863,-2807.2811,1.33,1793,84.4724578857422,7.39395809173584,0.25,3,12,2,0.505400372439479,58.3593262632564,0.0472087268366141
"3",769,1093,1494,1941,2521,2221,0.130131004366812,0.217475917096429,0.195168097802358,1.29919678714859,0.255790784557908,-618.2098,3574.1109,-2418.321,2,1377,180,0.954841256141663,-0.875,0.875,2,4,0.383638401195368,56.5065502183406,0.044542954068512
"4",1182,1588,2054,2732,3486,3228,0.141663184287505,0.273740310077519,0.2124725791288,1.3300876338851,0.258483754512635,-924.0644,5068.745,-3378.9122,0,1567,112.380142211914,4.38048696517944,-0.875,1.875,6,8,0.387690641638841,57.0831592143753,0.0896092700892976
"5",591,965,1468,2289,3643,3256,0.218525419217461,0.307928887555322,0.327744510978044,1.55926430517711,0.425552729407161,-558.4184,4113.8251,-3885.6792,0.67,1820,102.011474609375,21.8228321075439,-3.375,9.375,34,1,0.638266653624181,60.926270960873,0.0214621125420412
"6",1472,1957,2408,2819,3076,3006,0.0786301894011861,0.164980732177264,0.11793400286944,1.17068106312292,0.12180889861415,-1184.1842,5388.2294,-2752.8651,40.67,1699,135,0.337614715099335,0.125,0.125,1,2,0.182696690673717,53.9315094700593,0.137861373109507
"7",954,1333,1821,2374,3298,3015,0.131823599523242,0.2249430523918,0.197711834107973,1.30367929708951,0.288532916585271,-840.1086,4468.9506,-3280.2515,0,1498,8.13010215759277,1.6876049041748,0.125,0.625,2,64,0.432757105186053,56.5911799761621,0.283442132278899
"8",793,1034,1371,1805,2480,2178,0.136649874055416,0.265638389031705,0.20494254682827,1.31655725747629,0.287977148792521,-631.7234,3400.2303,-2390.5146,6,1644,50.1944274902344,3.72386717796326,0,1.5,5,64,0.431909645592626,56.8324937027708,0.13725914527635
"9",736,1029,1418,1804,2415,2200,0.119801365611421,0.201335280617567,0.179674166020171,1.2722143864598,0.26010957474563,-637.2134,3384.251,-2364.5318,42.66,1722,63.4349365234375,4.26269292831421,1,2,6,32,0.390113473327247,55.9900682805711,0.166968714138152
"10",1796,2317,2705,3139,3913,3508,0.0742642026009582,0.183898305084746,0.111386773889982,1.16044362292052,0.182532487156241,-1484.7964,6256.916,-3451.2374,17.33,1250,161.565048217773,0.754894495010376,-0.5,0.5,2,4,0.273778046385133,53.7132101300479,0.279551159150024
"11",1595,2056,2357,2798,3679,3446,0.0855480116391853,0.221452244652004,0.128309572301426,1.18710224862113,0.219019218025182,-1382.1066,5644.8833,-3402.5703,18,1256,141.340194702148,3.05436992645264,0.75,1.25,5,8,0.328501615174356,54.2774005819593,0.33735790324629
"12",1029,1459,1940,2418,2990,2633,0.109683340982102,0.18844122053142,0.164506137432603,1.24639175257732,0.212981744421907,-825.4894,4491.4373,-2778.8793,1.33,1352,111.03751373291,6.620689868927,0.375,2.625,9,1,0.319440219044722,55.4841670491051,0.103090179856339
