"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","folded_aspect_ns","slope","folded_aspect","tpi","tri","roughness","flowdir","satvi"
"1",1398,1937,2359,2731,3079,2900,0.0730844793713163,0.145289798468989,0.109615951281799,1.15769393810937,0.132401618242001,-1163.5216,5257.2718,-2732.0656,0,1270,116.565048217773,1.06752026081085,161.565048217773,0.5,0.5,1,4,0.198584168428795
"2",1174,1599,2071,2509,3185,2921,0.0956331877729258,0.1786005545588,0.143434122912346,1.21149203283438,0.211948249619482,-1000.3494,4803.7546,-2996.668,23.33,1389,90,2.86240530014038,135,0.375,1.125,3,16,0.317892133548939
"3",1037,1333,1711,2052,2617,2427,0.0906191868190274,0.187713310580205,0.135910721402949,1.19929865575687,0.209334565619224,-870.9288,3981.7363,-2453.4156,22,1539,45,5.05115270614624,90,-0.125,1.875,7,32,0.313965576989719
"4",736,1029,1418,1804,2415,2200,0.119801365611421,0.201335280617567,0.179674166020171,1.2722143864598,0.26010957474563,-637.2134,3384.251,-2364.5318,42.66,1722,63.4349365234375,4.26269292831421,108.434936523438,1,2,6,32,0.390113473327247
"5",1250,1669,2050,2450,3288,3047,0.0888888888888889,0.186011904761905,0.133318520164426,1.19512195121951,0.231922068190333,-1117.7342,4852.9798,-3114.0059,14.66,1361,148.240524291992,5.875572681427,103.240524291992,-2.125,2.875,10,4,0.347850519808935
"6",886,1185,1561,1976,2631,2265,0.117331071529545,0.220838654746701,0.175971731448763,1.26585522101217,0.255248091603053,-710.3176,3735.0232,-2467.0256,2,1531,120.963760375977,14.9627208709717,165.963760375977,-0.625,5.875,22,8,0.382826475849732
"7",702,1005,1335,1702,1987,1608,0.120842937108989,0.206272482014388,0.181234567901235,1.2749063670412,0.19626730885009,-484.523,3066.8304,-1747.4848,0.67,1428,98.1301040649414,1.6876049041748,53.1301040649414,-0.125,0.625,2,1,0.294356659142212
"8",696,961,1305,1803,2608,2264,0.16023166023166,0.282057091073856,0.240308830625704,1.3816091954023,0.332992588806542,-570.4546,3352.5198,-2581.8469,1.33,1788,110.556045532227,12.0571928024292,65.5560455322266,5.5,6.25,19,2,0.499425067075508
"9",1219,1572,2030,2674,3602,3285,0.136904761904762,0.281838074398249,0.205335317249442,1.31724137931034,0.279119318181818,-978.0334,5061.4079,-3497.8568,0,1432,18.4349365234375,0.754894495010376,63.4349365234375,-0.25,0.25,1,128,0.418641810918775
"10",651,927,1187,1674,2107,1776,0.170220202726319,0.311023119172308,0.255285689323781,1.41027801179444,0.279295689131755,-438.9894,2994.6485,-1975.1852,33.33,2021,128.990997314453,6.42315101623535,173.990997314453,-1.75,2.75,10,8,0.418879951434209
