"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","satvi"
"1",695,926,1192,1699,2822,2660,0.175371843652715,0.348262123918121,0.26301227736469,1.4253355704698,0.406078724464375,-688.0066,3333.8221,-2983.5146,0.67,1811,11.0434436798096,118.886596679688,0.375,4.625,13,16,0.609042221945448
"2",1595,2056,2357,2798,3679,3446,0.0855480116391853,0.221452244652004,0.128309572301426,1.18710224862113,0.219019218025182,-1382.1066,5644.8833,-3402.5703,18,1256,3.05436992645264,173.659805297852,0.75,1.25,5,8,0.328501615174356
"3",1250,1669,2050,2450,3288,3047,0.0888888888888889,0.186011904761905,0.133318520164426,1.19512195121951,0.231922068190333,-1117.7342,4852.9798,-3114.0059,14.66,1361,5.875572681427,103.240524291992,-2.125,2.875,10,4,0.347850519808935
"4",886,1185,1561,1976,2631,2265,0.117331071529545,0.220838654746701,0.175971731448763,1.26585522101217,0.255248091603053,-710.3176,3735.0232,-2467.0256,2,1531,14.9627208709717,165.963760375977,-0.625,5.875,22,8,0.382826475849732
"5",781,1028,1336,1769,2566,2244,0.139452495974235,0.275550464553901,0.209145065206891,1.32410179640719,0.315222962583291,-654.155,3385.0255,-2501.7232,30.67,1350,6.9262490272522,140.906127929688,-0.125,2.875,8,16,0.472773862908392
"6",1018,1332,1710,2050,2615,2424,0.0904255319148936,0.181779298545766,0.135620263262864,1.19883040935673,0.209248554913295,-864.321,3971.8536,-2455.7007,22,1539,5.05115270614624,90,-0.125,1.875,7,32,0.313836550687782
"7",1151,1556,1991,2343,2868,2538,0.0812182741116751,0.155545735749006,0.121813357942092,1.1767955801105,0.180489812718666,-948.2062,4498.0241,-2582.012,28.67,1403,12.9424085617065,157.380142211914,-4,6,21,16,0.270706862845972
"8",798,1090,1360,1858,2868,2470,0.154754505904288,0.308626673277144,0.232095696753146,1.36617647058824,0.356669820245979,-697.496,3592.1794,-2828.0886,9.34,1746,0.337614715099335,90,-0.125,0.125,1,64,0.534941468605889
"9",1237,1590,1880,2263,3239,2985,0.0924450881004103,0.224422829016758,0.138650898998431,1.20372340425532,0.265481539363157,-1120.7098,4599.2429,-3091.5551,30.66,1686,1.72100615501404,168.690063476562,0.125,0.625,2,16,0.398183416349253
"10",1025,1302,1622,2039,2987,2701,0.113903305107894,0.255233198677929,0.17083162638263,1.25709001233046,0.296159687567802,-905.453,4049.6609,-2902.2023,71.33,1529,5.4792685508728,132.510437011719,0.625,2.125,6,16,0.444191343963554
"11",1017,1314,1543,1763,2224,1849,0.0665456745311555,0.162026808071881,0.0998034175109633,1.14257939079715,0.180780461906026,-820.7592,3518.0743,-1886.0046,18,1681,15.609525680542,62.3540267944336,2.25,6.5,24,2,0.271134704711347
"12",884,1319,1779,2295,3123,2377,0.126656848306333,0.203470031545741,0.189961958522518,1.29005059021922,0.274173806609547,-675.6062,4225.2048,-2833.4406,35.33,2401,15.5034084320068,167.735229492188,3.875,7.125,27,8,0.411218765935747
"13",998,1414,1796,2278,3305,2869,0.118311242022582,0.216337522441652,0.177445085286538,1.26837416481069,0.295824348167026,-900.7836,4418.4572,-3186.6431,57.33,1967,1.8175220489502,158.198593139648,-0.125,0.625,3,16,0.443693031461335
"14",1107,1511,1878,2472,3431,2944,0.136551724137931,0.273053231589593,0.20480404551201,1.31629392971246,0.292522132228292,-896.603,4703.7273,-3253.4678,49.34,1774,2.69895100593567,0,0.75,1.25,4,128,0.438741877766268
"15",914,1308,1634,2233,3322,2834,0.154900439617274,0.288925332818831,0.232320620555915,1.36658506731946,0.340597255851493,-783.8738,4250.15,-3243.4606,10.66,1686,5.22670364379883,14.9314155578613,1.625,2.875,8,2,0.510844345808534
"16",1080,1474,1897,2411,3527,3083,0.119312906220984,0.225676150333685,0.178948589996519,1.27095413811281,0.300516224188791,-964.4906,4688.4712,-3418.8535,0,1703,1.06752026081085,71.5650482177734,0.5,0.5,1,4,0.450732786431929
"17",1093,1470,1844,2541,3412,2861,0.158950969213227,0.322178053064621,0.238399270322654,1.37798264642082,0.298325722983257,-791.5464,4699.6583,-3205.3288,1.33,1694,4.97235822677612,28.3007564544678,0.5,2,7,64,0.447446019214306
"18",995,1264,1599,1978,3220,2836,0.105954710651384,0.23050723756234,0.158909853249476,1.23702313946216,0.336376841668396,-955.1112,4047.2223,-3174.8412,0,1419,1.35022449493408,90,0,0.5,2,4,0.504512916277622
"19",1219,1563,2035,2467,3130,2809,0.0959573522878721,0.195104326619095,0.143920044419767,1.21228501228501,0.212003872216844,-984.7076,4731.7201,-2896.3423,38.66,1962,1.6876049041748,36.8698978424072,0.125,0.625,2,64,0.317975026618914
"20",1151,1578,2036,2637,3281,2919,0.128611170554248,0.241501245680302,0.192896116400984,1.29518664047151,0.234154598457777,-881.9022,4884.3503,-3074.2089,58,1931,6.9262490272522,67.1663436889648,0.75,2.75,10,2,0.351198871650212
"21",1099,1368,1784,2339,3245,2818,0.13461072034926,0.288972196188691,0.201891596944343,1.31109865470852,0.290515012925035,-855.4308,4452.1043,-3093.8259,5.33,1832,6.80408954620361,147.094757080078,0.375,2.625,8,16,0.435729197733373
"22",934,1245,1637,2241,3410,2901,0.155750386797318,0.29847796007116,0.233595462163207,1.36896762370189,0.351297800673668,-783.7792,4269.8024,-3354.1291,6,1414,5.08888754974322e-14,45,0,0,0,64,0.526894502228826
"23",863,1219,1535,2201,3405,2793,0.178265524625268,0.337078651685393,0.267362505018065,1.43387622149837,0.378542510121458,-703.6902,4148.1275,-3328.4046,2.67,1439,0,45,0,0,0,64,0.567756299969639
"24",684,880,1202,1771,2700,2177,0.191389169189371,0.36909704203425,0.287035480073987,1.47337770382696,0.383905689390056,-492.4452,3260.717,-2637.2884,0.67,1409,0,45,0,0,0,32,0.575784753363229
"25",862,1078,1381,1879,3171,2622,0.152760736196319,0.336395568765199,0.229105965342739,1.36060825488776,0.39323374340949,-756.8924,3726.5554,-3123.5855,3.33,1414,0.954841256141663,135,0.375,0.375,1,16,0.589785831960461
"26",903,1131,1436,1889,2918,2363,0.136240601503759,0.303334672559261,0.204330175913396,1.31545961002786,0.340376665135508,-733.2384,3691.4729,-2763.1597,64.67,1385,2.13429999351501,161.565048217773,-0.125,0.875,3,16,0.510506372717878
"27",770,942,1155,1816,2780,2256,0.222484012117132,0.556022880215343,0.333669863705199,1.57229437229437,0.412960609911055,-513.1292,3359.8626,-2706.428,31.33,1561,4.53271436691284,131.987213134766,1.875,2.375,6,8,0.619362215728624
"28",691,885,1205,1738,2705,2317,0.181107713217805,0.351908094546415,0.271615423815186,1.44232365145228,0.383631713554987,-557.8536,3266.8661,-2715.5132,7.33,1506,1.01777750994864e-13,45,0,0,0,128,0.575373993095512
"29",1001,1315,1577,2290,3160,2726,0.184380656839928,0.419856318454835,0.276535229476406,1.45212428662016,0.334177749630568,-717.4476,4247.0945,-3038.8745,38.66,1781,1.21711814403534,146.309936523438,0,0.5,2,8,0.501213720316623
"30",1586,2088,2700,3033,3992,3515,0.0580847723704867,0.113435072898215,0.0871195604778931,1.12333333333333,0.193066347878063,-1408.7292,6034.5612,-3626.8696,31.34,1584,1.01777750994864e-13,135,0,0,0,64,0.28957788569294
"31",1536,2084,2645,3235,4181,3809,0.100340136054422,0.194437121012391,0.150497406683105,1.22306238185255,0.225021974802227,-1306.7162,6224.5364,-3935.2931,1.34,1548,1.06752026081085,18.4349479675293,-0.5,0.5,1,128,0.337508239947264
"32",703,959,1322,1706,2009,1766,0.126816380449141,0.219855719683957,0.190193164933135,1.29046898638427,0.206244371059742,-501.9322,3076.8725,-1859.9264,3.33,1514,3.05436992645264,173.659805297852,-1,1.25,5,8,0.309320126069338
"33",545,863,1188,1529,1846,1633,0.125506072874494,0.186522262334537,0.188224471021159,1.28703703703704,0.216875411997363,-438.3988,2748.3771,-1749.9773,21.34,1504,3.03572368621826,180,0.125,1.125,5,8,0.325259515570934
