"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","satvi"
"1",907,1261,1390,1813,1807,1455,0.132063690290353,0.315530359540504,0.198064616825347,1.30431654676259,0.130434782608696,42.7964000000002,3417.8965,1344.5735,30,1553,0.502891659736633,38.7319650650024,-2,12.5,33,64,0.195621579358874
"2",845,1097,1350,1977,2535,2275,0.188458070333634,0.419061622777704,0.282644628099174,1.46444444444444,0.305019305019305,130.4922,3825.3683,1317.7485,5,1510,0.0873761102557182,44.5576257705688,-0.25,2,7,64,0.457470081070647
"3",1283,1775,2065,2613,3231,2987,0.117144078666097,0.254575861748583,0.17569733889067,1.26537530266344,0.220166163141994,-81.4603999999996,5338.2617,1830.4775,40,1389,0.0176758281886578,39.5022130012512,-0.375,0.375,1,8,0.330218068535826
"4",1113,1504,1860,2382,2832,2470,0.123055162659123,0.25117890482148,0.184560989982322,1.28064516129032,0.207161125319693,14.5969000000001,4701.2771,1714.2169,45,1280,0.0343457013368607,43.1842249631882,-0.25,0.75,3,1,0.310708577517315
"5",901,1323,1801,2553,3088,2504,0.172714745062012,0.284740628549792,0.259042369962108,1.41754580788451,0.263244017181428,259.6238,4736.0898,1833.3774,0,1283,0.0412245281040668,42.6438055038452,-0.125,0.875,3,4,0.394825646794151
"6",974,1505,1803,2486,3066,2671,0.15924457915598,0.284583333333333,0.238839025527451,1.37881308929562,0.25939617991374,118.2787,4820.9067,1745.4062,0,1337,0.0448462851345539,43.0486973524094,-0.5,1,3,1,0.389054317691755
"7",976,1435,1891,2589,3161,2771,0.155803571428571,0.263754534461911,0.233679276866421,1.36911686938128,0.2513855898654,161.6129,4952.6608,1778.605,0,1284,0.0294542610645294,43.2873066663742,0.125,0.625,2,1,0.377041068777833
"8",991,1470,1862,2692,3091,2639,0.1822573561704,0.32258064516129,0.273356021517181,1.44575725026853,0.248132444982839,264.5057,4961.1234,1826.5702,35,1286,0.0186317432671785,42.9655561447144,-0.125,0.375,2,2,0.372161098213385
"9",566,852,804,4255,1829,913,0.682150622652698,1.78438469493278,1.02312481470501,5.29228855721393,0.389289783516901,2519.2138,4138.464,1804.7317,0,1285,0.0131753943860531,43.1074531078339,-0.25,0.25,1,8,0.583823808619708
"10",638,1035,1217,4053,2367,1810,0.538140417457305,1.07898341196165,0.807134048003036,3.3303204601479,0.320870535714286,1962.3237,4716.0883,1758.0833,0,1284,1.77635683940025e-15,40.2876110076904,0,0,0,32,0.481238666480681
"11",1043,1506,1797,2402,3073,2949,0.144081924267683,0.282051282051282,0.216097154423146,1.33667223149694,0.262012320328542,3.00310000000007,4850.0906,1567.465,30,1300,0.0186317432671785,43.8928512334824,-0.5,0.5,1,128,0.392978133661842
"12",1180,1716,1995,2735,2909,2749,0.156448202959831,0.315915300546448,0.234647500264243,1.37092731829574,0.186378466557912,117.439,5168.6546,1739.2829,0,1302,0.00833314005285501,41.8584072589874,-0.125,0.125,1,8,0.279539198695076
"13",1016,1401,1707,3196,2810,2415,0.303691617377116,0.639714727616429,0.455490975833588,1.87229056824839,0.244188620765995,788.9365,5001.8935,1791.2624,0,1303,0.00589248817414045,42.6438055038452,-0.125,0.125,1,16,0.366242390702822
"14",925,1334,1678,2556,2966,2442,0.207368918280586,0.385934065934066,0.311016648955012,1.52324195470799,0.277347114556417,324.6867,4626.9525,1753.5227,0,1312,0.0186317432671785,40.7512588500977,0.5,0.5,1,16,0.415975885455916
"15",701,956,1227,1786,2689,2343,0.185529372718221,0.359116022099447,0.278247884519662,1.45558272208639,0.373340143003064,92.5555000000002,3623.493,1279.3876,40,1369,0.0649937465786934,40.982349395752,-0.5,1.5,5,8,0.55993872079663
"16",372,663,479,4529,1839,807,0.80870607028754,2.19440832249675,1.21293800539084,9.45511482254697,0.586712683347714,2996.8317,3976.7292,1774.8458,0,1301,0.0176758281886578,41.0730092525482,-0.375,0.375,1,32,0.879879232262239
"17",692,1035,1041,4456,2226,1278,0.621247953429143,1.54861237076002,0.931787175989086,4.2804995196926,0.362718089990817,2437.3869,4694.6924,1998.4615,0,1274,0,43.4292036294937,0,0,0,128,0.543993879112471
"18",955,1396,1657,2931,3347,2705,0.277680906713165,0.55764685284076,0.416475972540046,1.76885938442969,0.337729816147082,572.5577,5042.1415,1918.9006,0,1275,0,43.4292036294937,0,0,0,128,0.506544110300729
"19",1494,2057,2384,2859,3567,3263,0.0905969864581347,0.199278402416513,0.135882521216745,1.19924496644295,0.198790119307679,-196.6925,5984.598,2092.3556,15,1261,0.0131753943860531,43.1074531078339,0.25,0.25,1,1,0.298160127698899
"20",1037,1469,1739,2370,2935,2655,0.153565344366026,0.313774241670811,0.230319990266456,1.36285221391604,0.255883611467694,60.0892000000003,4672.2504,1622.3877,20,1331,0.0649937465786934,44.3052617311478,-0.875,1.625,6,128,0.383784361963846
"21",914,1298,1570,2542,3078,2493,0.236381322957198,0.475724353954581,0.354528875379939,1.61910828025478,0.324440619621343,371.4174,4588.7739,1755.2387,25,1467,0.101034186780453,43.5943523645401,-0.375,2.375,7,1,0.486608583414004
"22",614,939,845,4346,2166,1401,0.674436524754383,1.81889027431421,1.01155735336608,5.14319526627219,0.438724676187313,2468.5213,4477.0017,1782.293,0,1257,0.0176758281886578,44.2146018147469,0.375,0.375,1,64,0.657977751950855
"23",1101,1445,1714,2232,2793,2651,0.131272174353776,0.304026294165982,0.196883314329152,1.3022170361727,0.239405369425338,-40.0914,4537.0286,1495.5995,25,1403,0.0448462851345539,43.8097100257874,0.5,1,3,1,0.359068219633943
"24",796,1128,1313,2406,2982,2226,0.293896208658241,0.633256083429896,0.440785051754268,1.83244478293983,0.388591385331781,495.6646,4182.4556,1713.5376,30,1607,0.0919728875160217,43.1074531078339,-0.625,2.125,8,2,0.582819229426144
"25",1296,1747,1991,2496,3297,2910,0.112547359037219,0.267308913825958,0.168802228412256,1.25364138623807,0.246974281391831,-120.8901,5224.1132,1875.5825,10,1280,0.0300372242927551,39.304817199707,-0.125,0.625,2,64,0.370426396898932
"26",1246,1713,1963,2429,3019,2778,0.106102003642987,0.239564055110014,0.159134889015367,1.23739174732552,0.211963067041349,-123.6417,5028.5823,1739.2027,20,1309,0.0294542610645294,44.2146018147469,-0.375,0.625,3,128,0.317912694430507
"27",1281,1816,2132,2626,3640,3266,0.103825136612022,0.212509679084574,0.155721340758642,1.23170731707317,0.261261261261261,-155.6951,5591.4003,1969.4805,25,1385,0.0614426583051682,43.9231450557709,-0.25,1.5,5,128,0.391857947163274
"28",1079,1536,1789,2289,3013,2543,0.122609122118686,0.253472574267464,0.183891136447223,1.27948574622694,0.254893794252395,-38.3038999999999,4688.3811,1761.3576,25,1488,0.0929013043642044,44.5363523960114,0.125,2.125,8,128,0.382300884955752
