"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","split"
"1",1497,2084,2373,2711,3115,2824,0.0664830841856806,0.147662734818698,0.0997148195496116,1.14243573535609,0.135204081632653,-253.4803,5663.0878,2031.4573,55,1355,0.0166651234030724,45,-0.375,0.375,1,64,FALSE
"2",1283,1775,2065,2613,3231,2987,0.117144078666097,0.254575861748583,0.17569733889067,1.26537530266344,0.220166163141994,-81.4603999999996,5338.2617,1830.4775,40,1389,0.0176758281886578,39.5022130012512,-0.375,0.375,1,8,FALSE
"3",1140,1537,1897,2480,3048,2629,0.133196253141421,0.274327122153209,0.199771559109081,1.30732735898788,0.232760364004044,37.5741000000002,4901.3113,1798.7118,35,1453,0.0186317432671785,41.3947596549988,0.5,0.5,1,4,FALSE
"4",1113,1504,1860,2382,2832,2470,0.123055162659123,0.25117890482148,0.184560989982322,1.28064516129032,0.207161125319693,14.5969000000001,4701.2771,1714.2169,45,1280,0.0343457013368607,43.1842249631882,-0.25,0.75,3,1,FALSE
"5",901,1323,1801,2553,3088,2504,0.172714745062012,0.284740628549792,0.259042369962108,1.41754580788451,0.263244017181428,259.6238,4736.0898,1833.3774,0,1283,0.0412245281040668,42.6438055038452,-0.125,0.875,3,4,FALSE
"6",974,1505,1803,2486,3066,2671,0.15924457915598,0.284583333333333,0.238839025527451,1.37881308929562,0.25939617991374,118.2787,4820.9067,1745.4062,0,1337,0.0448462851345539,43.0486973524094,-0.5,1,3,1,FALSE
"7",566,852,804,4255,1829,913,0.682150622652698,1.78438469493278,1.02312481470501,5.29228855721393,0.389289783516901,2519.2138,4138.464,1804.7317,0,1285,0.0131753943860531,43.1074531078339,-0.25,0.25,1,8,FALSE
"8",638,1035,1217,4053,2367,1810,0.538140417457305,1.07898341196165,0.807134048003036,3.3303204601479,0.320870535714286,1962.3237,4716.0883,1758.0833,0,1284,1.77635683940025e-15,40.2876110076904,0,0,0,32,FALSE
"9",1043,1506,1797,2402,3073,2949,0.144081924267683,0.282051282051282,0.216097154423146,1.33667223149694,0.262012320328542,3.00310000000007,4850.0906,1567.465,30,1300,0.0186317432671785,43.8928512334824,-0.5,0.5,1,128,FALSE
"10",1016,1401,1707,3196,2810,2415,0.303691617377116,0.639714727616429,0.455490975833588,1.87229056824839,0.244188620765995,788.9365,5001.8935,1791.2624,0,1303,0.00589248817414045,42.6438055038452,-0.125,0.125,1,16,FALSE
"11",925,1334,1678,2556,2966,2442,0.207368918280586,0.385934065934066,0.311016648955012,1.52324195470799,0.277347114556417,324.6867,4626.9525,1753.5227,45,1312,0.0186317432671785,40.7512588500977,0.5,0.5,1,16,FALSE
"12",925,1334,1678,2556,2966,2442,0.207368918280586,0.385934065934066,0.311016648955012,1.52324195470799,0.277347114556417,324.6867,4626.9525,1753.5227,0,1312,0.0186317432671785,40.7512588500977,0.5,0.5,1,16,FALSE
"13",802,1130,1426,2088,3012,2508,0.188389299943085,0.357451403887689,0.28254374733248,1.46423562412342,0.357368183866607,145.1216,4138.687,1546.6384,35,1366,0.0412245281040668,41.0730092525482,0.125,0.875,3,8,FALSE
"14",701,956,1227,1786,2689,2343,0.185529372718221,0.359116022099447,0.278247884519662,1.45558272208639,0.373340143003064,92.5555000000002,3623.493,1279.3876,40,1369,0.0649937465786934,40.982349395752,-0.5,1.5,5,8,FALSE
"15",372,663,479,4529,1839,807,0.80870607028754,2.19440832249675,1.21293800539084,9.45511482254697,0.586712683347714,2996.8317,3976.7292,1774.8458,0,1301,0.0176758281886578,41.0730092525482,-0.375,0.375,1,32,FALSE
"16",692,1035,1041,4456,2226,1278,0.621247953429143,1.54861237076002,0.931787175989086,4.2804995196926,0.362718089990817,2437.3869,4694.6924,1998.4615,0,1274,0,43.4292036294937,0,0,0,128,FALSE
"17",1260,1780,2102,2458,3200,2938,0.0780701754385965,0.158334815869062,0.117092424076307,1.16936251189343,0.207091663523199,-213.4296,5246.126,1826.3694,20,1277,0.0294542610645294,43.5711007118225,-0.125,0.625,2,1,FALSE
"18",1494,2057,2384,2859,3567,3263,0.0905969864581347,0.199278402416513,0.135882521216745,1.19924496644295,0.198790119307679,-196.6925,5984.598,2092.3556,15,1261,0.0131753943860531,43.1074531078339,0.25,0.25,1,1,FALSE
"19",948,1333,1570,2339,2962,2460,0.196725505244308,0.413440860215054,0.29505051796905,1.48980891719745,0.307149161518094,199.6673,4449.8925,1672.2351,15,1467,0.101034186780453,43.5943523645401,-0.375,2.375,7,1,FALSE
"20",914,1298,1570,2542,3078,2493,0.236381322957198,0.475724353954581,0.354528875379939,1.61910828025478,0.324440619621343,371.4174,4588.7739,1755.2387,25,1467,0.101034186780453,43.5943523645401,-0.375,2.375,7,1,FALSE
"21",1334,1892,2110,2704,3187,2882,0.123390112172829,0.27705223880597,0.185065946619587,1.28151658767773,0.203322635454031,-57.3927999999999,5436.5036,1918.3922,20,1258,8.88178419700125e-16,40.2876110076904,0,0,0,32,FALSE
"22",813,1128,1342,2372,2889,2128,0.277329025309639,0.595031773541306,0.415937542064881,1.76751117734724,0.365634601748996,465.7871,4130.8063,1714.2217,0,1607,0.0919728875160217,43.1074531078339,-0.625,2.125,8,2,FALSE
"23",1296,1747,1991,2496,3297,2910,0.112547359037219,0.267308913825958,0.168802228412256,1.25364138623807,0.246974281391831,-120.8901,5224.1132,1875.5825,10,1280,0.0300372242927551,39.304817199707,-0.125,0.625,2,64,FALSE
"24",1246,1713,1963,2429,3019,2778,0.106102003642987,0.239564055110014,0.159134889015367,1.23739174732552,0.211963067041349,-123.6417,5028.5823,1739.2027,20,1309,0.0294542610645294,44.2146018147469,-0.375,0.625,3,128,FALSE
"25",1128,1538,1820,2428,3273,2875,0.143126177024482,0.310902024953978,0.214663999058491,1.33406593406593,0.285293540153151,0.393000000000086,4953.8313,1769.2153,20,1385,0.0294542610645294,43.5711007118225,0.625,0.875,3,1,FALSE
"26",1281,1816,2132,2626,3640,3266,0.103825136612022,0.212509679084574,0.155721340758642,1.23170731707317,0.261261261261261,-155.6951,5591.4003,1969.4805,25,1385,0.0614426583051682,43.9231450557709,-0.25,1.5,5,128,FALSE
"27",1079,1536,1789,2289,3013,2543,0.122609122118686,0.253472574267464,0.183891136447223,1.27948574622694,0.254893794252395,-38.3038999999999,4688.3811,1761.3576,25,1488,0.0929013043642044,44.5363523960114,0.125,2.125,8,128,FALSE
"28",1024,1404,1708,2428,3294,2742,0.174081237911025,0.360216129677807,0.26109029372658,1.42154566744731,0.317073170731707,129.3356,4790.9286,1799.6578,25,1696,0.168358385562897,43.2318080663681,3.375,4.375,13,128,FALSE
"29",1296,1710,1960,2424,3130,2773,0.105839416058394,0.25979843225084,0.158741019500513,1.23673469387755,0.229862475442043,-132.5556,5066.5471,1817.0449,25,1337,0.0917860493063927,43.3385437726974,0.375,2.125,6,1,FALSE
