"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","ds"
"1",724,938,1205,1820,2021,1729,0.203305785123967,0.424606462303231,0.304908279623203,1.5103734439834,0.252944823310601,-359.354,3106.583,-1851.4829,39.34,1648,5.08888754974322e-14,135,0,0,0,64,"BLM"
"2",639,913,1277,1775,2787,2603,0.163171690694626,0.268001291572489,0.244717444717445,1.38997650743931,0.371555118110236,-634.6194,3377.7443,-2930.7338,1.34,1882,9.78731536865234,82.1466903686523,-2,4,14,1,"BLM"
"3",718,1056,1439,1948,2852,2647,0.150280484204311,0.244805694497884,0.225387453874539,1.35371785962474,0.329293870892566,-678.1566,3668.3138,-2926.3178,1.33,1913,8.6913013458252,152.447189331055,3.125,4.375,15,8,"BLM"
"4",733,1002,1293,1947,2723,2338,0.201851851851852,0.388499465367708,0.302731060021602,1.50580046403712,0.356075697211155,-513.8252,3515.7057,-2682.6221,62.67,1934,13.8323030471802,158.962493896484,-3.625,6.125,20,16,"BLM"
"5",695,926,1192,1699,2822,2660,0.175371843652715,0.348262123918121,0.26301227736469,1.4253355704698,0.406078724464375,-688.0066,3333.8221,-2983.5146,0.67,1811,11.0434436798096,118.886596679688,0.375,4.625,13,16,"BLM"
"6",705,993,1335,1871,2692,2594,0.167186525265128,0.291653063445424,0.250740682987681,1.40149812734082,0.336975415942389,-639.927,3499.3863,-2807.2811,1.33,1793,7.39395809173584,39.4724578857422,0.25,3,12,2,"BLM"
"7",613,896,1162,1734,2865,2638,0.197513812154696,0.347974206107799,0.29621957534956,1.49225473321859,0.422895455674199,-607.1594,3311.6935,-3032.9039,0,1483,8.99714374542236,135,0.375,3.875,12,4,"BLM"
"8",711,979,1385,2010,2952,2815,0.184094256259205,0.313220406935953,0.276100721543219,1.45126353790614,0.36130966105603,-627.3394,3707.0171,-3112.3833,10.66,1926,17.7753162384033,36.0273742675781,5.375,8.625,25,128,"BLM"
"9",1182,1588,2054,2732,3486,3228,0.141663184287505,0.273740310077519,0.2124725791288,1.3300876338851,0.258483754512635,-924.0644,5068.745,-3378.9122,0,1567,4.38048696517944,157.380142211914,-0.875,1.875,6,8,"BLM"
"10",690,1023,1333,1837,2717,2376,0.158990536277603,0.270328255739112,0.238448194291121,1.37809452363091,0.341728395061728,-611.5872,3452.4178,-2708.8268,6.67,1568,19.4436855316162,123.4248046875,2.125,8.375,26,4,"BLM"
"11",656,1011,1352,1803,2973,2815,0.142947702060222,0.225680544435548,0.214387577246078,1.3335798816568,0.374797687861272,-749.9578,3547.8632,-3152.631,0.67,1550,14.8510627746582,143.130096435547,3.375,7.125,22,8,"BLM"
