"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","folded_aspect_ns","slope","folded_aspect","tpi","tri","roughness","flowdir","satvi","tndvi","lat"
"1",1113,1504,1860,2382,2832,2470,0.123055162659123,0.25117890482148,0.184560989982322,1.28064516129032,0.207161125319693,14.5969000000001,4701.2771,1714.2169,45,1280,1.81577503681183,0.0343457013368607,43.1842249631882,-0.25,0.75,3,1,0.310708577517315,56.1527581329562,2274344.46980539
"2",976,1435,1891,2589,3161,2771,0.155803571428571,0.263754534461911,0.233679276866421,1.36911686938128,0.2513855898654,161.6129,4952.6608,1778.605,0,1284,1.71269333362579,0.0294542610645294,43.2873066663742,0.125,0.625,2,1,0.377041068777833,57.7901785714286,2286462.79214717
"3",638,1035,1217,4053,2367,1810,0.538140417457305,1.07898341196165,0.807134048003036,3.3303204601479,0.320870535714286,1962.3237,4716.0883,1758.0833,0,1284,4.71238899230957,1.77635683940025e-15,40.2876110076904,0,0,0,32,0.481238666480681,76.9070208728653,2296024.80737094
"4",638,1035,1217,4053,2367,1810,0.538140417457305,1.07898341196165,0.807134048003036,3.3303204601479,0.320870535714286,1962.3237,4716.0883,1758.0833,0,1284,4.71238899230957,1.77635683940025e-15,40.2876110076904,0,0,0,32,0.481238666480681,76.9070208728653,2296021.64083126
"5",1024,1404,1708,2428,3294,2742,0.174081237911025,0.360216129677807,0.26109029372658,1.42154566744731,0.317073170731707,129.3356,4790.9286,1799.6578,25,1696,1.7681919336319,0.168358385562897,43.2318080663681,3.375,4.375,13,128,0.475562218890555,58.7040618955513,2256736.18854712
"6",906,1499,1418,3690,2412,1723,0.44479248238058,1.05107327905255,0.667123421748067,2.60225669957687,0.259530026109661,1413.7555,4860.4279,1948.563,0,1269,2.03444385528564,0.0186317432671785,42.9655561447144,-0.5,0.5,1,128,0.389244223991646,72.239624119029,2252785.34201538
"7",1118,1503,1761,2254,2828,2540,0.122789539227895,0.277840396753832,0.184161374673142,1.27995457126633,0.232512529962955,-48.8308999999999,4588.5818,1617.5739,15,1274,3.92699074745178,0.0117845674976707,41.0730092525482,0,0.25,2,8,0.348730798561935,56.1394769613948,2284536.5084006
"8",876,1196,1509,1920,2689,2278,0.119860017497813,0.233257661748014,0.179763813967051,1.27236580516899,0.281086231538828,-26.4968,3976.7742,1481.9486,20,1335,2.67794513702393,0.0186317432671785,42.3220548629761,-0.5,0.5,1,2,0.421579135405502,55.9930008748906,2301343.00461761
"9",1222,1678,1988,2554,3427,3096,0.124614707177455,0.266077472734111,0.186901485965878,1.28470824949698,0.265743305632502,-68.9141999999997,5295.3932,1842.4718,40,1297,3.92699074745178,0.00589248817414045,41.0730092525482,0.125,0.125,1,8,0.398578155294987,56.2307353588727,2296586.85336408
"10",1205,1606,1869,2381,3002,2727,0.120470588235294,0.280794120873094,0.180684625338196,1.27394328517924,0.23260110860193,-71.2672999999998,4879.1769,1699.0622,30,1352,3.92699074745178,0.0235658623278141,41.0730092525482,0.25,0.5,2,16,0.348865852406856,56.0235294117647,2213797.95891228
"11",1139,1505,1761,2153,3012,2997,0.100153295861012,0.234590065828845,0.150210754885681,1.22260079500284,0.262099308610936,-199.0004,4698.4483,1448.5893,10,1248,2.64765119552612,0.0614426583051682,42.3523488044739,-0.25,1.5,5,2,0.393107782549492,55.0076647930506,2272914.30638497
"12",1187,1573,1874,2252,2481,2310,0.0916141541444498,0.205680705190989,0.137404580152672,1.2017075773746,0.139380022962113,-103.7782,4531.6857,1572.967,20,1241,0.785398185253143,0.0117845674976707,44.2146018147469,0,0.25,2,128,0.20904603375043,54.5807077072225,2264786.87118741
"13",1527,2056,2294,2782,3649,3480,0.0961386918833727,0.239473942486996,0.144193834334679,1.21272885789015,0.227999326939256,-249.7943,5972.5943,1976.2451,5,1340,5.7427659034729,0.0242908541113138,39.2572340965271,-0.375,0.625,2,32,0.341970219567595,54.8069345941686,2228828.16563252
"14",1018,1374,1596,1888,2300,2149,0.0838117106773823,0.190600522193211,0.125699526474387,1.18295739348371,0.180698151950719,-149.1958,3958.2525,1358.3347,15,1351,4.9097843170166,0.0636516436934471,40.0902156829834,-0.25,1.5,4,16,0.271012447067881,54.1905855338691,2264747.84626678
"15",1525,2183,2566,2910,3598,3410,0.0628195763330898,0.125191061940461,0.0942207614352232,1.13406079501169,0.167423750811162,-307.736,6216.6765,2114.6788,15,1282,2.67794513702393,0.0186317432671785,42.3220548629761,0.5,0.5,1,4,0.251115256711818,53.1409788166545,2220987.02557642
"16",1177,1638,1843,2253,2825,2605,0.10009765625,0.228565057420002,0.150128158183815,1.22246337493218,0.210368466152528,-146.9975,4715.5235,1630.2426,35,1282,2.67794513702393,0.0372505597770214,42.3220548629761,0.375,0.875,3,2,0.315518903287994,55.0048828125,2241274.57853893
"17",956,1245,1488,1924,2486,2280,0.12778429073857,0.295954385012218,0.191648351648352,1.29301075268817,0.251132360342224,-39.9262999999997,3941.2318,1349.1113,20,1579,1.19028997421265,0.0448462851345539,43.8097100257874,-0.375,1.125,4,64,0.376651151088187,56.3892145369285,2258417.21488842
"18",906,1106,1262,1624,2578,2314,0.125433125433125,0.37676935886761,0.188117096830071,1.28684627575277,0.342708333333333,-124.3168,3612.7192,1243.3638,45,1527,5.49778699874878,0.00589248817414045,39.5022130012512,-0.125,0.125,1,128,0.513995573493035,56.2716562716563,2260023.99196903
"19",1033,1423,1814,2418,2508,2304,0.142722117202268,0.27180271802718,0.214057885410514,1.3329658213892,0.160573808422027,125.474,4507.0631,1567.691,30,1737,4.71238899230957,8.88178419700125e-16,40.2876110076904,0,0,0,128,0.240832851359167,57.1361058601134,2284709.52106371
"20",1116,1486,1828,2362,2789,2514,0.12744630071599,0.269098971981455,0.191146641212266,1.29212253829322,0.208143816330951,12.728,4661.9468,1641.4138,20,1695,1.81577503681183,0.0343457013368607,43.1842249631882,-1.625,1.625,4,2,0.312181916621548,56.3723150357995,2268328.72777928
"21",768,1035,1178,1893,2210,1758,0.232823184630414,0.558244846970643,0.349177926094742,1.60696095076401,0.304604486422668,253.1751,3420.0253,1330.6891,25,1756,4.11233854293823,0.0956312716007233,40.8876614570618,-1,2.25,8,4,0.456839309428951,61.6411592315207,2268405.54813083
"22",907,1213,1462,1994,2674,2350,0.153935185185185,0.335477361584058,0.230869376536959,1.36388508891929,0.293036750483559,35.2732000000001,4018.5923,1429.3832,35,1754,0.090659886598587,0.0459898859262466,44.9093401134014,1.5,1.75,6,32,0.439501994439744,57.6967592592593,2273657.3317079
"23",900,1174,1460,1859,2004,1727,0.120216932811088,0.257751937984496,0.180298237686399,1.27328767123288,0.157043879907621,31.1379999999999,3569.5528,1323.7301,5,1611,4.00789499282837,0.580735564231873,40.9921050071716,-1.375,14.625,56,8,0.235531822773849,56.0108466405544,2276837.92818896
"24",738,1075,1295,1999,2195,1896,0.213721918639951,0.415584415584416,0.320534223706177,1.54362934362934,0.257879656160458,253.1865,3583.1091,1296.5047,10,1796,3.14159274101257,0.0996686518192291,41.8584072589874,0,2.25,6,4,0.386764073914912,60.6860959319976,2279723.32308246
"25",859,1180,1410,2002,2521,2193,0.173505275498241,0.368113418729014,0.26021978021978,1.41985815602837,0.282625286186721,106.9507,3886.9782,1398.1262,65,1768,4.96971273422241,0.0816798806190491,40.0302872657776,1.25,2.25,8,32,0.423884013735216,58.6752637749121,2269159.69380211
"26",684,870,898,2042,2457,1804,0.389115646258503,1.24293785310734,0.583574222071076,2.2739420935412,0.46467958271237,563.0096,3352.8826,1371.598,45,2228,2.94419717788696,0.0212427191436291,42.055802822113,-0.75,1,3,2,0.696915511846223,69.4557823129252,2279490.9528578
"27",926,1286,1526,2845,2593,2164,0.30176161061542,0.652066442554874,0.452590643943726,1.86435124508519,0.259043457149794,682.6446,4508.5999,1658.736,0,1789,1.57079637050629,8.88178419700125e-16,43.4292036294937,0,0,0,128,0.388518024032043,65.088080530771,2292709.02253531
"28",904,1246,1384,2191,2426,2151,0.225734265734266,0.542922497308934,0.338554048384841,1.58309248554913,0.273490813648294,250.0804,3978.4064,1395.9445,10,1705,2.03444385528564,0.0186317432671785,42.9655561447144,0.125,0.375,2,1,0.410182390762367,61.2867132867133,2316134.59729384
"29",1042,1461,1618,2296,2827,2652,0.173224322943281,0.404534606205251,0.259803295440031,1.41903584672435,0.271991001124859,62.9005000000002,4526.1916,1499.9265,50,1687,4.71238899230957,1.77635683940025e-15,40.2876110076904,0,0,0,128,0.40794061410415,58.661216147164,2323070.67366055
"30",772,1005,1238,1765,2217,2094,0.175491175491175,0.387044653349001,0.26319294156817,1.42568659127625,0.283357452966715,81.1707000000001,3447.5953,1122.4627,30,1797,4.03764820098877,0.0533088147640228,40.9623517990112,-0.375,1.375,4,8,0.424974678049486,58.7745587745588,2291287.21964194
"31",1305,1816,2127,2620,3218,2963,0.1038550663577,0.220266285407917,0.155766192733017,1.23178185237424,0.204115996258185,-118.1099,5388.4832,1865.6186,30,1309,5.17603635787964,0.0372505597770214,39.8239636421204,-0.375,0.875,3,16,0.306145355906838,55.192753317885,2279539.52638252
"32",779,1095,1372,2265,3093,2584,0.245532031894418,0.47954032864354,0.368247422680412,1.65087463556851,0.385442329227324,314.8832,4234.0284,1559.0036,35,1632,1.57079637050629,0.0499583967030048,43.4292036294937,-0.375,1.125,3,1,0.578098757138058,62.2766015947209,2287646.16038763
"33",876,1290,1598,2548,2922,2368,0.22913651712494,0.426621160409556,0.343663330519715,1.59449311639549,0.292920353982301,388.7566,4519.074,1732.2558,0,1376,4.42633771896362,0.0736997947096825,40.5736622810364,-0.5,1.75,6,16,0.439331932308373,61.456825856247,2275145.27509583
"34",890,1253,1686,2793,3089,2505,0.24715338245144,0.443865276663994,0.370688692934479,1.65658362989324,0.293821989528796,528.2767,4779.5372,1821.5366,0,1438,2.07789492607117,0.0428721718490124,42.9221050739288,-0.25,1,4,2,0.440686839074443,62.357669122572,2276612.49605086
"35",855,1240,1461,2033,2171,2062,0.163709215798512,0.325925925925926,0.245528687938189,1.39151266255989,0.195484581497797,109.0011,3817.5692,1272.7057,20,1643,0.286051452159882,0.0736997947096825,44.7139485478401,0.5,1.75,6,128,0.293186510667584,58.1854607899256,2297727.07088925
"36",791,1133,1426,2286,2871,2341,0.231681034482759,0.43783728744527,0.347474747474747,1.60308555399719,0.336281126367233,327.3712,4168.8504,1584.5151,0,1653,4.7468581199646,0.12032113224268,40.2531418800354,-0.5,2.75,8,16,0.504363001745201,61.5840517241379,2296450.73357077
"37",881,1208,1460,1994,2721,2449,0.154603358425014,0.321880650994575,0.231871471993053,1.36575342465753,0.301602487443195,27.5312999999999,4047.5792,1398.4424,15,1473,3.92699074745178,0.0294542610645294,41.0730092525482,0.375,0.625,3,8,0.452349635298338,57.7301679212507,2324799.74248229
"38",990,1381,1719,2169,3077,2820,0.115740740740741,0.222375963629176,0.173588787450174,1.26178010471204,0.283152627189324,-81.1260999999997,4581.9761,1560.7257,15,1584,5.21948766708374,0.0428721718490124,39.7805123329163,-1,1.5,5,32,0.42468466590222,55.787037037037,2324813.2351516
"39",950,1312,1544,2160,2695,2479,0.166306695464363,0.358139534883721,0.249426373329734,1.39896373056995,0.271526303373437,73.1682000000001,4245.4079,1438.1289,20,1681,3.60524034500122,0.0558435767889023,41.3947596549988,0.5,1.25,5,8,0.407241419978771,58.3153347732181,2283839.81665176
"40",752,1068,1231,2054,2757,2309,0.250532724505327,0.541304919757958,0.375741896210622,1.66856214459789,0.382647943831494,268.5558,3849.9633,1414.6407,25,1518,2.28488707542419,0.0825181677937508,42.7151129245758,-0.75,2,7,2,0.573899962391877,62.5266362252664,2313942.46982807
"41",1198,1670,1988,2420,3048,2672,0.0980036297640653,0.201342281879195,0.146988771691051,1.21730382293763,0.210484511517077,-107.9732,4994.1874,1819.8136,0,1514,2.26553463935852,0.0649937465786934,42.7344653606415,0.5,1.75,7,2,0.315695423409113,54.9001814882033,2319808.56412243
"42",828,1104,1353,1979,2394,2143,0.187875150060024,0.402520576131687,0.281770442610653,1.46267553584627,0.277822257806245,150.4108,3753.1632,1304.5513,20,1843,0.0665681660175323,0.0625570043921471,44.9334318339825,-0.125,1.375,4,64,0.416677785190127,59.3937575030012,2320112.46846639
"43",905,1213,1465,2101,2287,2095,0.178351093662367,0.387379705201608,0.267489135006309,1.43412969283276,0.21908315565032,155.8672,3901.6443,1339.6939,25,1731,1.57079637050629,8.88178419700125e-16,43.4292036294937,0,0,0,128,0.328580946035976,58.9175546831183,2303253.15444347
"44",1011,1469,1736,2259,2902,2744,0.130913642052566,0.256699715323451,0.196345889125266,1.30126728110599,0.251401466149202,-35.2728,4611.7438,1526.1148,15,1428,0.785398185253143,0.0176758281886578,44.2146018147469,0.375,0.375,1,1,0.377061550070066,56.5456821026283,2181331.07821169
"45",927,1294,1622,2294,2926,2449,0.171603677221655,0.331067100206917,0.257372654155496,1.41430332922318,0.286719437115215,154.2243,4418.4966,1654.8674,10,1463,0.785398185253143,0.0294542610645294,44.2146018147469,0.625,0.875,3,128,0.43003187864131,58.5801838610827,2185422.35580924
"46",1048,1357,1693,1904,2280,2033,0.058659994439811,0.125505591244349,0.0879777623349548,1.12463083284111,0.147747294236094,-167.5987,3987.1185,1445.7362,20,1269,1.16590452194214,0.0633797720074654,43.8340954780579,0,1.5,4,1,0.221593053982635,52.9329997219905,2103963.494719
"47",1119,1666,1943,2364,3121,2839,0.0977478523334107,0.186928336737412,0.146604759141033,1.21667524446732,0.2326224328594,-140.5765,4980.6422,1741.2948,30,1481,3.23225259780884,0.0459898859262466,41.7677474021912,0.25,1,3,4,0.348899200315925,54.8873926166705,2142832.1397437
