"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","satvi"
"1",845,1097,1350,1977,2535,2275,0.188458070333634,0.419061622777704,0.282644628099174,1.46444444444444,0.305019305019305,130.4922,3825.3683,1317.7485,5,1510,0.0873761102557182,44.5576257705688,-0.25,2,7,64,0.457470081070647
"2",1016,1401,1707,3196,2810,2415,0.303691617377116,0.639714727616429,0.455490975833588,1.87229056824839,0.244188620765995,788.9365,5001.8935,1791.2624,0,1303,0.00589248817414045,42.6438055038452,-0.125,0.125,1,16,0.366242390702822
"3",925,1334,1678,2556,2966,2442,0.207368918280586,0.385934065934066,0.311016648955012,1.52324195470799,0.277347114556417,324.6867,4626.9525,1753.5227,45,1312,0.0186317432671785,40.7512588500977,0.5,0.5,1,16,0.415975885455916
"4",1260,1780,2102,2458,3200,2938,0.0780701754385965,0.158334815869062,0.117092424076307,1.16936251189343,0.207091663523199,-213.4296,5246.126,1826.3694,20,1277,0.0294542610645294,43.5711007118225,-0.125,0.625,2,1,0.310608203677511
"5",1024,1404,1708,2428,3294,2742,0.174081237911025,0.360216129677807,0.26109029372658,1.42154566744731,0.317073170731707,129.3356,4790.9286,1799.6578,25,1696,0.168358385562897,43.2318080663681,3.375,4.375,13,128,0.475562218890555
"6",1296,1710,1960,2424,3130,2773,0.105839416058394,0.25979843225084,0.158741019500513,1.23673469387755,0.229862475442043,-132.5556,5066.5471,1817.0449,25,1337,0.0917860493063927,43.3385437726974,0.375,2.125,6,1,0.344759846773401
"7",1160,1604,1816,2187,2872,2606,0.0926804896327754,0.211564781021898,0.139003372049457,1.20429515418502,0.225255972696246,-173.9052,4660.0209,1635.3172,0,1281,0.0300372242927551,42.4464099407196,0.5,0.75,3,2,0.337847925775835
"8",942,1292,1504,2087,2920,2541,0.162350320245057,0.36014331603657,0.243491577335375,1.3876329787234,0.320072332730561,32.9423999999998,4256.0208,1525.0499,20,1581,0.129705011844635,42.9655561447144,0.375,3.125,10,1,0.480054243417335
"9",1402,1951,2238,2619,3080,2865,0.0784434836318715,0.172148924634014,0.117653113741637,1.17024128686327,0.158330199323054,-213.1337,5459.495,1896.1758,20,1267,0.00589248817414045,41.0730092525482,0.125,0.125,1,8,0.237472971702548
"10",1236,1744,1957,2618,2849,2244,0.14448087431694,0.324592417992536,0.216697628674462,1.33776188042923,0.185601331668747,99.4312,4968.5314,1983.9368,0,1258,0.101372614502907,44.0399296283722,-0.5,2.25,9,128,0.278373036513055
